design_id,material,style,color
1,Fabric,Modern,Light Blue
2,Metal,Classic,Royal Blue
3,Fabric,Classic,Gray
4,Metal,Classic,Gray
5,Fabric,Classic,Mint Green
6,Metal,Modern,Brown
7,Metal,Modern,Clear
8,Fabric,Modern,White
9,Metal,Classic,Maroon
10,Metal,Modern,Red
11,Metal,Modern,Gray
12,Fabric,Modern,Light Blue
13,Fabric,Modern,Black
14,Metal,Classic,Brown
15,Wood,Classic,Navy Blue
16,Wood,Classic,Black
17,Plastic,Modern,Gray
18,Fabric,Modern,Light Blue
19,Glass,Classic,Black
20,Fabric,Classic,White
21,Wood,Modern,White
22,Metal,Modern,Olive Green
23,Fabric,Classic,Brown
24,Wood,Modern,Yellow
25,Wood,Classic,Maroon
26,Fabric,Modern,Gray
27,Metal,Modern,Black
28,Wood,Classic,Black
29,Wood,Modern,Olive Green
30,Glass,Modern,Dark Green
31,Fabric,Classic,Clear
32,Fabric,Classic,Gray
33,Fabric,Classic,White
34,Wood,Classic,Olive Green
35,Wood,Modern,Yellow
36,Plastic,Classic,Black
37,Plastic,Classic,White
38,Plastic,Classic,Red
39,Wood,Classic,Maroon
40,Fabric,Classic,Baby Blue
41,Wood,Modern,Brown
42,Metal,Modern,Light Blue
43,Wood,Classic,Yellow
44,Wood,Classic,Olive Green
45,Wood,Modern,Clear
46,Fabric,Classic,Black
47,Wood,Modern,Gray
48,Wood,Classic,Olive Green
49,Glass,Classic,Brown
50,Wood,Classic,White
51,Plastic,Modern,Brown
52,Wood,Modern,Red
53,Metal,Modern,Yellow
54,Fabric,Classic,Clear
55,Metal,Classic,Mint Green
56,Metal,Modern,White
57,Wood,Classic,Brown
58,Fabric,Modern,Mint Green
59,Metal,Classic,Baby Blue
60,Fabric,Modern,Baby Blue
61,Plastic,Modern,Gray
62,Wood,Classic,Brown
63,Fabric,Modern,Mint Green
64,Wood,Modern,Red
65,Fabric,Modern,Brown
66,Glass,Classic,Dark Green
67,Glass,Modern,Black
68,Wood,Modern,Olive Green
69,Wood,Modern,Navy Blue
70,Plastic,Modern,Red
71,Metal,Modern,Light Blue
72,Metal,Classic,Light Blue
73,Metal,Classic,Black
74,Fabric,Classic,Baby Blue
75,Fabric,Modern,Light Blue
76,Wood,Classic,Baby Blue
77,Metal,Classic,Olive Green
78,Wood,Modern,Mint Green
79,Fabric,Modern,Clear
80,Fabric,Modern,Olive Green
81,Plastic,Classic,Gray
82,Plastic,Modern,Black
83,Fabric,Classic,White
84,Glass,Modern,Clear
85,Metal,Modern,Yellow
86,Wood,Classic,Mint Green
87,Wood,Modern,Black
88,Fabric,Classic,Olive Green
89,Fabric,Modern,Clear
90,Metal,Classic,Olive Green
91,Glass,Modern,Light Blue
92,Metal,Modern,Navy Blue
93,Fabric,Classic,Red
94,Plastic,Classic,Gray
95,Plastic,Classic,Brown
96,Glass,Classic,White
97,Fabric,Modern,Royal Blue
98,Wood,Modern,Black
99,Wood,Classic,Yellow
100,Metal,Modern,Clear
101,Plastic,Modern,White
102,Fabric,Classic,Mint Green
103,Plastic,Modern,White
104,Metal,Modern,Red
105,Wood,Classic,Olive Green
106,Fabric,Modern,Navy Blue
107,Wood,Classic,Light Blue
108,Wood,Classic,Gray
109,Plastic,Modern,Black
110,Fabric,Classic,Red
111,Fabric,Modern,Baby Blue
112,Wood,Classic,Gray
113,Wood,Classic,Navy Blue
114,Wood,Modern,Royal Blue
115,Glass,Modern,White
116,Wood,Classic,White
117,Wood,Classic,Royal Blue
118,Metal,Modern,Clear
119,Wood,Classic,Black
120,Fabric,Classic,Light Blue
121,Wood,Modern,Royal Blue
122,Metal,Classic,Maroon
123,Glass,Modern,Brown
124,Wood,Modern,Royal Blue
125,Fabric,Modern,Brown
126,Wood,Classic,Light Blue
127,Metal,Modern,Maroon
128,Metal,Classic,Brown
129,Metal,Classic,White
130,Wood,Classic,Brown
131,Fabric,Classic,Olive Green
132,Wood,Classic,Royal Blue
133,Wood,Modern,Dark Green
134,Metal,Modern,Brown
135,Wood,Classic,Olive Green
136,Wood,Classic,Red
137,Plastic,Modern,Black
138,Wood,Classic,Mint Green
139,Fabric,Classic,Clear
140,Wood,Modern,Olive Green
141,Fabric,Modern,Black
142,Fabric,Classic,Brown
143,Fabric,Modern,Yellow
144,Wood,Modern,Yellow
145,Wood,Modern,Baby Blue
