product_id,design_id,category,product_name,start_date,sale_price,cost
1,69,Office,Office chair,2022-04-08,5362.08,3385.75
2,80,Rugs,Large rug,2021-11-14,1467.46,880.11
3,45,Bedroom,Bed sheets,2024-06-21,2414.86,1489.54
4,121,Decor,Wall clock,2025-04-01,801.71,505.31
5,4,Lighting,Wall lamp,2021-03-31,1998.12,1201.29
6,78,Living Room,Recliner,2021-10-08,10604.11,6788.51
7,42,Outdoor,Sun lounger,2021-09-18,3503.0,2099.14
8,43,Living Room,Sectional sofa,2021-06-25,12884.02,7955.01
9,92,Office,Desk,2023-05-21,1379.15,814.41
10,27,Dining,Dining bench,2022-04-13,9633.4,5820.55
11,9,Bedroom,Pillow,2024-05-14,6123.39,3657.04
12,5,Rugs,Runner rug,2022-11-14,4840.49,3176.9
13,15,Living Room,Side table,2023-09-20,6761.03,4262.09
14,9,Decor,Decorative mirror,2021-05-07,1019.91,610.1
15,103,Bedroom,Bedroom Sets,2021-10-01,4845.04,3052.1
16,77,Lighting,Decorative light,2024-12-13,529.89,324.21
17,112,Storage,Shelving unit,2024-01-22,2264.35,1400.76
18,2,Lighting,Hanging lamp,2021-05-21,2864.51,1811.67
19,10,Storage,Storage cabinet,2022-08-28,4856.75,2990.61
20,85,Decor,Table clock,2024-10-07,975.05,591.76
21,128,Outdoor,Patio chair,2024-10-21,8641.52,5119.91
22,10,Decor,Clock,2022-03-31,2274.35,1433.37
23,85,Decor,Accent table,2022-11-29,1065.11,676.66
24,19,Bedroom,Quilt,2023-12-23,15722.84,9526.94
25,38,Bedroom,Kids’ desk,2024-10-09,14498.24,9210.63
26,32,Rugs,Medium rug,2024-07-12,4074.74,2679.7
27,120,Rugs,Small rug,2024-02-13,3227.19,1954.62
28,140,Outdoor,Garden bench,2023-05-11,8609.03,5105.76
29,22,Lighting,Table lamp,2024-09-16,2513.82,1646.13
30,28,Dining,Crockery unit,2023-03-11,5971.74,3605.62
31,4,Outdoor,Outdoor sofa,2024-05-12,4035.35,2475.47
32,94,Bedroom,Kids’ dresser,2023-01-15,4455.0,2778.06
33,77,Dining,Dining set (4-seater),2022-12-21,8400.72,5533.58
34,56,Decor,Pouf,2022-06-21,425.67,257.1
35,109,Bedroom,King bed,2024-07-23,8373.22,4926.5
36,38,Outdoor,Patio table,2024-04-04,2219.18,1356.04
37,121,Living Room,TV stand,2025-04-24,12161.45,7775.84
38,76,Bedroom,Bedside table,2023-02-01,10033.19,5975.81
39,61,Living Room,Loveseat,2024-07-27,7512.63,4742.21
40,11,Dining,Sideboard,2022-10-17,1763.88,1167.44
41,122,Decor,Accent chair,2025-01-10,2277.49,1365.61
42,36,Bedroom,Chest of drawers,2021-03-14,4171.03,2680.08
43,126,Office,File cabinet,2022-10-30,1982.88,1255.19
44,100,Living Room,Coffee table,2023-04-19,3361.4,2072.71
45,118,Dining,Dining set (8-seater),2023-05-23,6011.28,3562.71
46,138,Bedroom,Coverlet,2022-10-31,2466.7,1503.98
47,27,Storage,Storage Furniture,2023-07-01,3438.61,2137.74
48,57,Decor,Sand clock,2022-05-09,1584.41,994.09
49,108,Bedroom,Queen bed,2024-11-23,7907.14,5093.94
50,138,Bedroom,Twin bed,2022-02-16,14140.12,8828.99
51,98,Bedroom,Bunk bed,2022-05-17,12452.29,7945.69
52,112,Bedroom,Storage bed,2022-08-09,2342.8,1534.15
53,127,Bedroom,Canopy bed,2025-03-04,9389.45,6143.99
54,113,Bedroom,Dresser,2022-09-02,11738.68,7531.04
55,98,Bedroom,Nightstand,2024-03-28,3839.44,2273.51
56,134,Bedroom,Wardrobe,2024-12-10,15196.0,9928.77
57,92,Bedroom,Armoire,2021-05-22,4017.93,2622.87
58,84,Decor,Coat rack,2024-06-17,2259.57,1500.66
59,104,Bedroom,Kids’ bed,2022-11-20,1471.79,940.69
60,25,Bedroom,Crib,2022-01-25,7538.03,4858.77
61,25,Storage,Kids’ storage,2021-08-31,5115.95,3254.38
62,50,Bedroom,Comforter set,2024-06-14,11976.12,7848.13
63,75,Bedroom,Blanket,2025-03-05,4260.6,2786.1
64,127,Bedroom,Throw,2024-09-21,14866.18,9807.21
65,23,Bedroom,Pillowcase,2022-09-01,3288.54,2003.17
66,58,Bedroom,Mattress protector,2021-10-18,6470.6,3831.63
67,63,Rugs,Round rug,2025-05-16,2367.61,1531.01
68,42,Lighting,Floor lamp,2024-04-08,627.35,409.09
69,108,Decor,Photo frame,2024-04-04,480.8,309.46
70,143,Decor,Poster,2025-01-04,1618.22,1052.0
71,142,Decor,Wall art,2021-06-13,2023.3,1266.79
72,98,Decor,Framed artwork,2022-02-12,1699.71,1104.61
73,99,Dining,Dining chair,2024-06-14,5153.35,3107.16
74,2,Dining,Buffet,2021-07-11,1885.09,1190.67
75,41,Living Room,Armchair,2024-05-15,7976.93,4711.72
76,138,Office,Bookcase,2022-09-10,2944.54,1800.54
77,42,Living Room,Console table,2021-08-16,11577.58,6841.24
