visit_id,customer_id,lead_id,branch_id,entring,leaving,purchased
1,1,,100,2/15/2021 02:33:11,1/1/1900 05:07:11,TRUE
2,1,,100,2/15/2021 02:53:19,1/1/1900 04:20:19,TRUE
3,1,,100,2/15/2021 06:35:19,1/1/1900 07:26:19,FALSE
4,2,,100,2/15/2021 07:42:26,1/1/1900 10:09:26,TRUE
5,1,,100,2/15/2021 11:21:17,1/1/1900 13:30:17,FALSE
6,3,,100,2/15/2021 18:23:16,1/1/1900 19:44:16,TRUE
7,3,,100,2/15/2021 20:35:23,1/1/1900 23:40:23,TRUE
8,4,,100,2/15/2021 20:47:33,1/1/1900 21:34:33,FALSE
9,5,,100,2/15/2021 21:48:04,1/1/1900 22:29:04,TRUE
10,2,,100,2/15/2021 23:01:23,1/1/1900 01:12:23,FALSE
11,,2,100,2/16/2021 00:26:49,1/1/1900 01:05:49,FALSE
12,6,,100,2/16/2021 01:43:39,1/1/1900 02:34:39,TRUE
13,5,,100,2/16/2021 13:30:08,1/1/1900 16:31:08,FALSE
14,1,,100,2/16/2021 15:01:54,1/1/1900 16:41:54,FALSE
15,3,,100,2/16/2021 15:17:53,1/1/1900 17:01:53,FALSE
16,4,,100,2/17/2021 07:28:16,1/1/1900 10:10:16,TRUE
17,7,,100,2/17/2021 12:22:47,1/1/1900 14:21:47,FALSE
18,1,,100,2/17/2021 19:19:36,1/1/1900 21:15:36,FALSE
19,8,,100,2/17/2021 21:54:50,1/1/1900 23:39:50,TRUE
20,9,,100,2/18/2021 07:16:07,1/1/1900 07:48:07,FALSE
21,10,,100,2/18/2021 07:22:16,1/1/1900 09:32:16,TRUE
22,5,,100,2/18/2021 10:39:57,1/1/1900 13:41:57,FALSE
23,9,,100,2/18/2021 14:49:03,1/1/1900 18:01:03,FALSE
24,3,,100,2/18/2021 16:50:39,1/1/1900 19:39:39,TRUE
25,9,,100,2/18/2021 17:19:03,1/1/1900 19:43:03,TRUE
26,9,,100,2/18/2021 18:56:07,1/1/1900 20:59:07,FALSE
27,7,,100,2/18/2021 20:44:45,1/1/1900 21:25:45,FALSE
28,11,,100,2/18/2021 23:56:18,1/1/1900 03:38:18,TRUE
29,6,,100,2/19/2021 06:55:47,1/1/1900 10:02:47,TRUE
30,4,,100,2/19/2021 07:38:59,1/1/1900 10:35:59,TRUE
31,12,,100,2/19/2021 11:37:15,1/1/1900 12:54:15,FALSE
32,9,,100,2/19/2021 12:10:24,1/1/1900 12:52:24,TRUE
33,10,,100,2/19/2021 18:46:09,1/1/1900 19:34:09,TRUE
34,13,,100,2/19/2021 22:06:10,1/1/1900 23:12:10,TRUE
35,10,,100,2/19/2021 22:07:57,1/1/1900 23:44:57,FALSE
36,9,,100,2/19/2021 22:42:29,1/1/1900 01:15:29,TRUE
37,13,,100,2/19/2021 23:26:40,1/1/1900 02:23:40,TRUE
38,3,,100,2/20/2021 10:53:51,1/1/1900 12:18:51,FALSE
39,1,,100,2/20/2021 19:04:28,1/1/1900 22:26:28,FALSE
40,1,,100,2/20/2021 22:50:53,1/1/1900 00:51:53,FALSE
41,14,,100,2/21/2021 00:44:10,1/1/1900 04:29:10,TRUE
42,3,,100,2/21/2021 04:01:04,1/1/1900 05:32:04,TRUE
43,15,,100,2/21/2021 11:30:54,1/1/1900 13:39:54,TRUE
44,16,,100,2/21/2021 14:14:13,1/1/1900 16:09:13,FALSE
45,12,,100,2/22/2021 01:34:40,1/1/1900 03:20:40,FALSE
46,12,,100,2/22/2021 02:16:06,1/1/1900 05:57:06,FALSE
47,1,,100,2/22/2021 03:24:08,1/1/1900 04:33:08,FALSE
48,17,,100,2/22/2021 03:40:59,1/1/1900 04:10:59,FALSE
49,17,,100,2/22/2021 03:44:04,1/1/1900 07:02:04,TRUE
50,16,,100,2/22/2021 08:11:21,1/1/1900 09:35:21,TRUE
51,18,,100,2/22/2021 08:52:28,1/1/1900 10:59:28,FALSE
52,7,,100,2/22/2021 09:25:28,1/1/1900 12:18:28,FALSE
53,10,,100,2/22/2021 20:59:50,1/1/1900 21:43:50,TRUE
54,16,,100,2/23/2021 00:56:53,1/1/1900 04:12:53,TRUE
55,,5,100,2/23/2021 15:50:41,1/1/1900 19:32:41,FALSE
56,2,,100,2/23/2021 17:03:06,1/1/1900 20:51:06,TRUE
57,4,,100,2/23/2021 22:21:07,1/1/1900 01:15:07,TRUE
58,13,,100,2/24/2021 02:21:00,1/1/1900 04:48:00,FALSE
59,,5,100,2/24/2021 02:40:12,1/1/1900 04:42:12,FALSE
60,16,,100,2/24/2021 04:41:03,1/1/1900 07:55:03,TRUE
61,19,,100,2/24/2021 06:24:29,1/1/1900 07:28:29,TRUE
62,20,,100,2/24/2021 11:27:30,1/1/1900 13:58:30,TRUE
63,15,,100,2/24/2021 14:19:34,1/1/1900 14:51:34,TRUE
64,21,,100,2/24/2021 16:35:09,1/1/1900 17:17:09,TRUE
65,7,,100,2/24/2021 19:08:31,1/1/1900 21:23:31,FALSE
66,22,,100,2/24/2021 20:20:47,1/1/1900 00:14:47,FALSE
67,16,,100,2/24/2021 23:30:04,1/1/1900 02:20:04,FALSE
68,23,,100,2/25/2021 03:19:58,1/1/1900 04:21:58,TRUE
69,24,,100,2/25/2021 05:49:20,1/1/1900 07:17:20,FALSE
70,2,,100,2/25/2021 08:43:29,1/1/1900 10:08:29,FALSE
71,22,,100,2/25/2021 12:03:39,1/1/1900 13:15:39,FALSE
72,24,,100,2/25/2021 14:45:12,1/1/1900 17:03:12,FALSE
73,2,,100,2/25/2021 16:41:44,1/1/1900 19:26:44,FALSE
74,25,,100,2/25/2021 20:45:51,1/1/1900 23:18:51,FALSE
75,26,,100,2/25/2021 23:36:26,1/1/1900 01:39:26,TRUE
76,27,,100,2/26/2021 01:01:04,1/1/1900 04:15:04,TRUE
77,7,,100,2/26/2021 02:14:55,1/1/1900 04:07:55,TRUE
78,28,,100,2/26/2021 07:41:28,1/1/1900 08:31:28,TRUE
79,29,,100,2/26/2021 09:19:48,1/1/1900 11:03:48,TRUE
80,17,,100,2/26/2021 10:20:26,1/1/1900 13:16:26,FALSE
81,30,,100,2/26/2021 10:35:08,1/1/1900 13:48:08,FALSE
82,23,,100,2/26/2021 11:41:57,1/1/1900 13:58:57,TRUE
83,31,,100,2/26/2021 12:32:51,1/1/1900 16:03:51,TRUE
84,4,,100,2/26/2021 17:27:06,1/1/1900 20:21:06,TRUE
85,,6,100,2/26/2021 17:33:01,1/1/1900 20:46:01,FALSE
86,32,,100,2/26/2021 21:33:46,1/1/1900 23:41:46,TRUE
87,3,,100,2/27/2021 00:21:44,1/1/1900 02:28:44,TRUE
88,33,,100,2/27/2021 00:57:01,1/1/1900 03:46:01,TRUE
89,20,,100,2/27/2021 04:50:41,1/1/1900 07:53:41,FALSE
90,34,,100,2/27/2021 09:20:15,1/1/1900 12:48:15,TRUE
91,33,,100,2/27/2021 10:47:45,1/1/1900 12:22:45,TRUE
92,35,,100,2/27/2021 11:02:53,1/1/1900 13:41:53,FALSE
93,3,,100,2/27/2021 14:35:39,1/1/1900 15:56:39,TRUE
94,36,,100,2/27/2021 18:15:58,1/1/1900 21:17:58,TRUE
95,37,,100,2/28/2021 01:11:52,1/1/1900 04:47:52,FALSE
96,36,,100,2/28/2021 08:34:57,1/1/1900 11:26:57,FALSE
97,35,,100,2/28/2021 09:12:56,1/1/1900 11:20:56,TRUE
98,33,,100,2/28/2021 19:16:02,1/1/1900 22:33:02,TRUE
99,38,,100,2/28/2021 20:51:24,1/1/1900 23:26:24,TRUE
100,3,,100,2/28/2021 22:43:32,1/1/1900 02:36:32,FALSE
101,17,,100,3/1/2021 03:39:44,1/1/1900 07:18:44,TRUE
102,39,,100,3/1/2021 07:13:33,1/1/1900 07:57:33,TRUE
103,40,,100,3/1/2021 12:32:52,1/1/1900 13:45:52,FALSE
104,41,,100,3/1/2021 15:28:01,1/1/1900 16:56:01,TRUE
105,,8,100,3/1/2021 19:32:32,1/1/1900 23:08:32,FALSE
106,42,,100,3/2/2021 00:38:53,1/1/1900 01:27:53,TRUE
107,43,,100,3/2/2021 05:03:54,1/1/1900 08:17:54,FALSE
108,41,,100,3/2/2021 05:28:26,1/1/1900 09:28:26,TRUE
109,44,,100,3/2/2021 11:09:27,1/1/1900 13:25:27,TRUE
110,23,,100,3/2/2021 12:03:20,1/1/1900 12:47:20,FALSE
111,21,,100,3/2/2021 12:33:07,1/1/1900 14:31:07,FALSE
112,45,,100,3/2/2021 17:42:56,1/1/1900 19:11:56,FALSE
113,37,,100,3/2/2021 20:53:58,1/1/1900 21:42:58,FALSE
114,19,,100,3/2/2021 21:21:47,1/1/1900 22:01:47,FALSE
115,7,,100,3/2/2021 21:29:01,1/1/1900 22:35:01,FALSE
116,46,,100,3/3/2021 07:31:29,1/1/1900 11:08:29,TRUE
117,47,,100,3/3/2021 08:28:04,1/1/1900 11:11:04,FALSE
118,13,,100,3/3/2021 11:00:22,1/1/1900 12:07:22,TRUE
119,48,,100,3/4/2021 01:28:39,1/1/1900 02:34:39,TRUE
120,7,,100,3/4/2021 03:08:18,1/1/1900 05:15:18,FALSE
121,49,,100,3/4/2021 20:57:15,1/1/1900 00:14:15,FALSE
122,,6,100,3/4/2021 22:11:56,1/1/1900 02:03:56,FALSE
123,50,,100,3/5/2021 04:24:17,1/1/1900 07:33:17,TRUE
124,51,,100,3/5/2021 05:21:07,1/1/1900 07:28:07,TRUE
125,45,,100,3/5/2021 06:03:23,1/1/1900 09:08:23,TRUE
126,12,,100,3/5/2021 17:28:29,1/1/1900 20:05:29,TRUE
127,29,,100,3/5/2021 21:19:31,1/1/1900 23:15:31,FALSE
128,52,,100,3/6/2021 12:12:41,1/1/1900 13:31:41,FALSE
129,,12,100,3/6/2021 18:38:49,1/1/1900 21:13:49,FALSE
130,36,,100,3/6/2021 22:34:43,1/1/1900 02:20:43,TRUE
131,53,,100,3/7/2021 05:46:46,1/1/1900 09:31:46,TRUE
132,45,,100,3/7/2021 06:28:31,1/1/1900 08:48:31,TRUE
133,54,,100,3/7/2021 07:49:58,1/1/1900 11:35:58,TRUE
134,19,,100,3/7/2021 12:55:08,1/1/1900 13:34:08,TRUE
135,45,,100,3/7/2021 14:12:10,1/1/1900 17:34:10,TRUE
136,55,,100,3/7/2021 14:12:51,1/1/1900 17:33:51,FALSE
