Order_id,scheduled_deliver_date,deliver_date
1,2021-02-22,2021-02-22
2,2021-02-17,2021-02-17
3,2021-02-22,2021-02-22
4,2021-02-21,2021-02-21
5,2021-02-19,2021-02-19
6,2021-02-21,2021-02-21
7,2021-02-21,2021-02-21
8,2021-02-23,2021-02-23
9,2021-02-23,2021-02-23
10,2021-02-22,2021-02-22
11,2021-02-21,2021-02-21
12,2021-02-24,2021-02-24
13,2021-02-24,2021-02-24
14,2021-02-26,2021-02-26
15,2021-02-22,2021-02-22
16,2021-02-22,2021-02-22
17,2021-02-25,2021-02-25
18,2021-02-25,2021-02-25
19,2021-02-24,2021-02-24
20,2021-02-27,2021-02-27
21,2021-02-24,2021-02-24
22,2021-02-22,2021-02-22
23,2021-02-25,2021-02-25
24,2021-02-28,2021-02-28
25,2021-02-24,2021-02-24
26,2021-02-27,2021-02-27
27,2021-02-28,2021-02-28
28,2021-02-25,2021-02-25
29,2021-02-24,2021-02-24
30,2021-02-28,2021-02-28
31,2021-02-27,2021-02-27
32,2021-02-26,2021-02-26
33,2021-02-27,2021-02-27
34,2021-03-02,2021-03-02
35,2021-02-27,2021-03-02
36,2021-03-03,2021-03-03
37,2021-03-02,2021-03-02
38,2021-03-03,2021-03-03
39,2021-03-01,2021-03-01
40,2021-03-04,2021-03-04
41,2021-03-02,2021-03-02
42,2021-03-04,2021-03-04
43,2021-03-03,2021-03-03
44,2021-03-05,2021-03-05
45,2021-03-01,2021-03-01
46,2021-03-04,2021-03-04
47,2021-03-03,2021-03-03
48,2021-03-02,2021-03-02
49,2021-03-07,2021-03-07
50,2021-03-06,2021-03-06
51,2021-03-08,2021-03-08
52,2021-03-03,2021-03-03
53,2021-03-04,2021-03-04
54,2021-03-06,2021-03-06
55,2021-03-08,2021-03-08
56,2021-03-08,2021-03-08
57,2021-03-06,2021-03-06
58,2021-03-09,2021-03-09
59,2021-03-08,2021-03-08
60,2021-03-12,2021-03-12
61,2021-03-09,2021-03-09
62,2021-03-10,2021-03-10
63,2021-03-09,2021-03-09
64,2021-03-08,2021-03-08
65,2021-03-10,2021-03-10
66,2021-03-12,2021-03-12
67,2021-03-12,2021-03-12
68,2021-03-14,2021-03-14
69,2021-03-11,2021-03-11
70,2021-03-15,2021-03-15
71,2021-03-13,2021-03-13
72,2021-03-11,2021-03-11
73,2021-03-16,2021-03-16
74,2021-03-17,2021-03-17
75,2021-03-12,2021-03-12
76,2021-03-13,2021-03-13
77,2021-03-14,2021-03-14
78,2021-03-13,2021-03-13
79,2021-03-14,2021-03-14
80,2021-03-19,2021-03-19
81,2021-03-15,2021-03-15
82,2021-03-17,2021-03-17
83,2021-03-14,2021-03-14
84,2021-03-17,2021-03-17
85,2021-03-17,2021-03-17
86,2021-03-20,2021-03-20
87,2021-03-19,2021-03-19
88,2021-03-18,2021-03-18
89,2021-03-17,2021-03-17
90,2021-03-19,2021-03-19
91,2021-03-16,2021-03-16
92,2021-03-17,2021-03-17
93,2021-03-20,2021-03-20
94,2021-03-19,2021-03-19
95,2021-03-22,2021-03-22
96,2021-03-18,2021-03-18
97,2021-03-21,2021-03-21
98,2021-03-19,2021-03-19
99,2021-03-22,2021-03-22
100,2021-03-23,2021-03-23
101,2021-03-25,2021-03-25
102,2021-03-25,2021-03-25
103,2021-03-25,2021-03-25
104,2021-03-25,2021-03-25
105,2021-03-26,2021-03-26
106,2021-03-26,2021-03-26
107,2021-03-26,2021-03-26
108,2021-03-23,2021-03-23
109,2021-03-27,2021-03-27
110,2021-03-27,2021-03-27
111,2021-03-28,2021-03-28
112,2021-03-25,2021-03-25
113,2021-03-26,2021-03-26
114,2021-03-30,2021-03-30
115,2021-03-25,2021-03-25
116,2021-03-30,2021-03-30
117,2021-03-26,2021-03-26
118,2021-03-27,2021-03-27
119,2021-03-30,2021-03-30
120,2021-03-28,2021-03-28
121,2021-03-30,2021-03-30
122,2021-03-30,2021-03-30
123,2021-03-27,2021-03-27
124,2021-04-01,2021-04-01
125,2021-03-27,2021-03-27
126,2021-03-31,2021-03-31
127,2021-03-30,2021-03-30
128,2021-04-02,2021-04-02
129,2021-03-30,2021-03-30
130,2021-03-29,2021-03-29
131,2021-03-31,2021-03-31
132,2021-03-29,2021-03-29
133,2021-03-31,2021-03-31
134,2021-03-29,2021-03-29
135,2021-04-02,2021-04-02
136,2021-04-01,2021-04-01
137,2021-04-01,2021-04-01
138,2021-03-30,2021-03-30
139,2021-04-01,2021-04-01
140,2021-04-04,2021-04-04
141,2021-04-02,2021-04-02
142,2021-04-01,2021-04-01
143,2021-04-02,2021-04-02
144,2021-04-03,2021-04-03
145,2021-04-04,2021-04-04
146,2021-04-02,2021-04-02
147,2021-04-03,2021-04-03
148,2021-04-05,2021-04-05
149,2021-04-05,2021-04-05
150,2021-04-02,2021-04-02
151,2021-04-04,2021-04-04
152,2021-04-03,2021-04-03
153,2021-04-07,2021-04-07
154,2021-04-05,2021-04-05
155,2021-04-07,2021-04-07
156,2021-04-08,2021-04-08
157,2021-04-07,2021-04-07
158,2021-04-05,2021-04-05
159,2021-04-06,2021-04-06
160,2021-04-04,2021-04-04
161,2021-04-06,2021-04-06
162,2021-04-09,2021-04-09
163,2021-04-09,2021-04-09
164,2021-04-05,2021-04-05
165,2021-04-10,2021-04-10
166,2021-04-07,2021-04-07
