return_id,order_id,return_date,reason_id
1,6656,2024-09-12,4
2,8704,2025-02-08,4
3,9216,2025-04-06,4
4,6150,2024-07-26,4
5,5640,2024-06-13,4
6,14,2021-03-27,4
7,7185,2024-10-16,4
8,2581,2023-01-07,4
9,5673,2024-06-13,4
10,9258,2025-03-31,4
11,1581,2022-08-28,4
12,2609,2023-01-11,4
13,3122,2023-03-30,4
14,4153,2024-02-02,4
15,4673,2024-03-14,4
16,2116,2022-11-05,4
17,6733,2024-09-14,4
18,1102,2022-03-19,4
19,4692,2024-03-12,4
20,7259,2024-10-17,4
21,1128,2022-04-17,4
22,8810,2025-02-16,4
23,620,2021-10-25,4
24,4210,2024-01-31,4
25,629,2021-10-20,4
26,118,2021-04-22,4
27,3201,2023-04-30,4
28,5253,2024-05-20,4
29,4231,2024-02-11,4
30,5768,2024-07-04,4
31,2704,2023-01-27,4
32,1681,2022-09-19,4
33,1684,2022-09-18,4
34,4756,2024-04-22,4
35,9877,2025-08-14,4
36,671,2021-11-09,4
37,7331,2024-11-02,4
38,2729,2023-01-19,4
39,5809,2024-06-17,4
40,2738,2023-01-27,4
41,2229,2022-11-18,4
42,3765,2023-10-25,4
43,2234,2022-11-19,4
44,4796,2024-03-20,4
45,4806,2024-03-30,4
46,2759,2023-02-11,4
47,9949,2025-08-22,4
48,1246,2022-07-27,4
49,6369,2024-08-07,4
50,739,2021-11-27,4
51,8936,2025-03-07,4
52,4848,2024-04-02,4
53,6390,2024-08-11,4
54,9464,2025-04-30,4
55,763,2021-12-04,4
56,764,2021-12-02,4
57,4349,2024-02-18,4
58,7425,2024-11-10,4
59,2819,2023-02-23,4
60,1806,2022-10-21,4
61,4878,2024-04-05,4
62,4881,2024-04-05,4
63,7953,2024-12-14,4
64,6419,2024-08-21,4
65,7443,2024-11-03,4
66,9494,2025-05-11,4
67,3351,2023-07-13,4
68,8986,2025-03-02,4
69,1832,2022-10-02,4
70,3370,2023-07-17,4
71,5934,2024-07-27,4
72,5425,2024-06-03,4
73,7479,2024-11-13,4
74,4411,2024-02-27,4
75,8512,2025-01-20,4
76,8535,2025-01-27,4
77,6491,2024-08-18,4
78,3934,2024-01-02,4
79,863,2022-01-16,4
80,9567,2025-05-28,4
81,5988,2024-07-18,4
82,3952,2024-01-13,4
83,2929,2023-02-26,4
84,4464,2024-03-01,4
85,6001,2024-07-02,4
86,3448,2023-09-03,4
87,6526,2024-08-23,4
88,1413,2022-08-16,4
89,9098,2025-03-17,4
90,397,2021-07-27,4
91,8590,2025-02-05,4
92,7072,2024-09-27,4
93,417,2021-08-05,4
94,1955,2022-10-19,4
95,3494,2023-09-10,4
96,4021,2024-02-05,4
97,2486,2022-12-11,4
98,7094,2024-10-15,4
99,7096,2024-10-07,4
100,8634,2025-02-08,4
101,958,2022-01-25,4
102,5055,2024-04-22,4
103,5056,2024-05-02,4
104,8127,2025-01-09,4
105,965,2022-02-02,4
106,6597,2024-09-01,4
107,3016,2023-03-19,4
108,4040,2024-02-09,4
109,7624,2024-11-20,4
110,5580,2024-06-11,4
111,5071,2024-04-20,4
112,2527,2023-01-04,4
113,4576,2024-03-08,4
114,2532,2022-12-27,4
115,8165,2024-12-22,4
116,7656,2024-11-17,4
117,2028,2022-10-27,4
118,9708,2025-05-26,4
119,2037,2022-11-22,4
120,9212,2025-04-03,4
121,8965,2025-02-28,3
122,4711,2024-03-18,1
123,6202,2024-07-25,2
124,5255,2024-05-09,1
125,2220,2022-11-08,1
126,8611,2025-01-28,1
127,1852,2022-09-30,3
128,9154,2025-04-05,1
129,3079,2023-03-19,2
130,2677,2023-01-29,2
131,1757,2022-09-18,1
132,6985,2024-09-25,3
133,8537,2025-01-26,3
134,6580,2024-08-29,2
135,364,2021-07-15,1
136,3132,2023-03-26,2
137,6666,2024-09-05,3
138,1620,2022-09-07,1
139,805,2021-12-04,3
140,6765,2024-09-08,1
141,2648,2023-01-22,3
142,5030,2024-04-16,1
143,4598,2024-03-12,1
144,7126,2024-10-07,3
145,9586,2025-05-05,3
146,4959,2024-03-31,2
147,7547,2024-11-09,2
148,926,2022-01-27,2
149,7915,2024-11-30,1
150,2692,2023-01-21,2
151,3867,2023-11-22,1
152,6791,2024-10-11,1
153,442,2021-08-09,1
154,1110,2022-03-14,2
155,719,2021-11-18,1
156,1079,2022-02-28,2
157,4601,2024-03-04,3
158,5606,2024-06-10,1
159,59,2021-04-08,1
160,3274,2023-06-04,3
161,6235,2024-07-27,3
162,7389,2024-10-27,2
163,4840,2024-03-28,2
164,2462,2022-12-21,1
165,758,2021-11-27,2
166,1230,2022-07-13,3
167,9678,2025-05-14,3
168,4742,2024-03-14,2
169,2186,2022-11-06,3
170,2941,2023-03-06,1
171,9312,2025-04-04,2
172,2796,2023-02-13,2
173,3101,2023-03-23,3
174,8830,2025-02-11,2
175,1131,2022-04-05,1
176,2213,2022-11-12,2
177,8116,2024-12-16,2
178,3284,2023-06-03,2
179,7517,2024-11-01,3
180,336,2021-07-08,3
181,6555,2024-08-24,3
182,5967,2024-07-01,3
183,3396,2023-08-03,3
184,2622,2023-01-01,2
185,551,2021-09-14,1
186,8989,2025-02-23,1
187,4652,2024-03-03,3
188,1366,2022-08-07,3
189,8541,2025-01-18,3
190,8428,2025-01-18,1
191,4187,2024-02-02,1
192,8355,2025-01-13,3
193,2971,2023-03-09,1
194,6972,2024-09-26,2
195,7511,2024-11-12,3
196,3748,2023-10-11,1
197,9986,2025-09-02,2
198,5732,2024-06-14,1
199,9989,2025-08-24,3
200,4709,2024-03-16,3
