dis_id,product_id,start_time,end_time,dis_precent
1,38,2021-04-24 00:00:00,2021-05-10 00:00:00,40
2,13,2021-05-17 00:00:00,2021-05-29 00:00:00,40
3,17,2021-05-20 00:00:00,2021-06-09 00:00:00,20
4,72,2021-08-10 00:00:00,2021-08-26 00:00:00,15
5,59,2021-08-26 00:00:00,2021-09-10 00:00:00,10
6,8,2021-09-19 00:00:00,2021-10-05 00:00:00,20
7,69,2021-10-24 00:00:00,2021-11-05 00:00:00,30
8,15,2021-10-30 00:00:00,2021-11-16 00:00:00,20
9,6,2021-12-29 00:00:00,2022-01-16 00:00:00,15
10,49,2022-02-14 00:00:00,2022-03-01 00:00:00,30
11,9,2022-03-17 00:00:00,2022-04-01 00:00:00,10
12,2,2022-10-07 00:00:00,2022-10-17 00:00:00,30
13,6,2022-12-04 00:00:00,2022-12-22 00:00:00,40
14,32,2022-12-19 00:00:00,2022-12-29 00:00:00,15
15,23,2023-01-10 00:00:00,2023-01-24 00:00:00,25
16,17,2023-01-11 00:00:00,2023-01-25 00:00:00,30
17,4,2023-01-29 00:00:00,2023-02-10 00:00:00,35
18,46,2023-06-01 00:00:00,2023-06-15 00:00:00,35
19,36,2023-06-15 00:00:00,2023-07-04 00:00:00,10
20,18,2023-06-29 00:00:00,2023-07-18 00:00:00,35
21,22,2023-07-18 00:00:00,2023-07-29 00:00:00,25
22,45,2023-07-19 00:00:00,2023-08-06 00:00:00,40
23,75,2023-08-02 00:00:00,2023-08-22 00:00:00,15
24,34,2023-08-24 00:00:00,2023-09-11 00:00:00,40
25,17,2023-11-16 00:00:00,2023-12-01 00:00:00,25
26,2,2023-12-06 00:00:00,2023-12-19 00:00:00,30
27,53,2024-01-23 00:00:00,2024-02-06 00:00:00,35
28,76,2024-02-24 00:00:00,2024-03-06 00:00:00,20
29,38,2024-06-04 00:00:00,2024-06-18 00:00:00,35
30,40,2024-07-06 00:00:00,2024-07-23 00:00:00,15
31,10,2024-07-14 00:00:00,2024-07-24 00:00:00,10
32,61,2024-11-11 00:00:00,2024-12-01 00:00:00,25
33,64,2024-12-14 00:00:00,2025-01-02 00:00:00,25
34,21,2025-03-03 00:00:00,2025-03-18 00:00:00,20
35,27,2025-04-12 00:00:00,2025-04-22 00:00:00,10
